Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0402_1005Metric,154.2,-71.32,0.0,top
C11,10uF,C_0805_2012Metric,157.8,-113.9,90.0,bottom
C12,10uF,C_0805_2012Metric,154.95,-114.65,180.0,bottom
C13,10uF,C_0805_2012Metric,154.95,-112.55,180.0,bottom
C14,100uF,CP_EIA-7343-31_Kemet-D,161.4,-115.0,90.0,bottom
C15,10uF,C_0805_2012Metric,133.754721,-71.536115,90.0,bottom
C16,10uF,C_0805_2012Metric,135.998395,-71.53266,90.0,bottom
C17,100nF,C_0402_1005Metric,138.25,-71.2,90.0,bottom
C18,4.7nF,C_0402_1005Metric,127.5,-72.25,270.0,bottom
C19,10uF,C_0805_2012Metric,131.5,-71.5,90.0,bottom
C2,100n,C_0402_1005Metric,154.22,-72.57,0.0,top
C20,10uF,C_0805_2012Metric,129.26,-71.5,90.0,bottom
C21,10uF,C_0805_2012Metric,133.75,-75.0,270.0,bottom
C22,10uF,C_0805_2012Metric,136.0,-75.0,270.0,bottom
C23,100nF,C_0402_1005Metric,142.0,-75.0,270.0,bottom
C3,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,107.25,-110.1875,270.0,bottom
C4,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,102.25,-110.15,270.0,bottom
C5,10uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,104.75,-109.6,90.0,bottom
C6,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,101.6,-81.5625,270.0,bottom
C7,10uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,106.0,-81.0125,90.0,bottom
C8,10uF,C_0805_2012Metric,117.025,-99.98,0.0,bottom
C9,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,108.25,-81.6125,270.0,bottom
D1,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,104.7,-120.5,90.0,bottom
D2,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,106.9,-120.5,90.0,bottom
D3,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,101.9,-122.9,0.0,bottom
D4,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,108.1,-80.4,-90.0,top
